city,lng,lat
上海-上海市,121.4878995,31.24916171
云南省-临沧市,100.0926129,23.8878061
云南省-丽江市,100.2296284,26.87535109
云南省-保山市,99.17799561,25.1204892
云南省-大理白族自治州,100.2236748,25.59689964
云南省-德宏傣族景颇族自治州,98.58943429,24.44123966
云南省-怒江傈僳族自治州,98.85993204,25.86067698
云南省-文山壮族苗族自治州,104.2462943,23.37408685
云南省-昆明市,102.7146011,25.0491531
云南省-昭通市,103.7250207,27.34063296
云南省-普洱市,100.9800577,22.78877778
云南省-曲靖市,103.7825389,25.52075814
云南省-楚雄彝族自治州,101.5293822,25.06635567
云南省-玉溪市,102.5450679,24.37044713
云南省-红河哈尼族彝族自治州,103.3840648,23.36771752
云南省-西双版纳傣族自治州,100.8030383,22.009433
云南省-迪庆藏族自治州,99.7136816,27.83102946
内蒙古自治区-乌兰察布市,113.1128464,41.02236295
内蒙古自治区-乌海市,106.8319991,39.68317701
内蒙古自治区-兴安盟,122.0481665,46.08375707
内蒙古自治区-包头市,109.8462385,40.64711943
内蒙古自治区-呼伦贝尔市,119.7608218,49.20163605
内蒙古自治区-呼和浩特市,111.6603505,40.82831887
内蒙古自治区-巴彦淖尔市,107.4238067,40.7691799
内蒙古自治区-赤峰市,118.9307612,42.29711232
内蒙古自治区-通辽市,122.2603633,43.63375607
内蒙古自治区-鄂尔多斯市,109.9937063,39.81648956
内蒙古自治区-锡林郭勒盟,116.0273397,43.93970484
内蒙古自治区-阿拉善盟,105.6956829,38.84307526
北京-北京市,116.395645,39.92998578
台湾省-台中市,119.3376341,26.09119371
台湾省-台北市,114.1304744,22.37483293
台湾省-台南市,121.3605259,38.96584479
台湾省-嘉义市,114.2467013,22.72886572
台湾省-高雄市,111.5909528,21.94648225
吉林省-吉林市,126.564544,43.87198833
吉林省-四平市,124.3913821,43.1755247
吉林省-延边朝鲜族自治州,129.485902,42.8964136
吉林省-松原市,124.8329945,45.13604897
吉林省-白城市,122.8407767,45.62108628
吉林省-白山市,126.4357977,41.9458594
吉林省-辽源市,125.1336861,42.92330262
吉林省-通化市,125.9426501,41.73639713
吉林省-长春市,125.3136424,43.89833761
四川省-乐山市,103.7608242,29.60095761
四川省-内江市,105.073056,29.59946153
四川省-凉山彝族自治州,102.2595908,27.8923929
四川省-南充市,106.105554,30.80096517
四川省-宜宾市,104.6330191,28.7696748
四川省-巴中市,106.7579158,31.86918916
四川省-广元市,105.8196869,32.44104016
四川省-广安市,106.6357203,30.46398389
四川省-德阳市,104.4023978,31.13113965
四川省-成都市,104.0679235,30.67994285
四川省-攀枝花市,101.7224232,26.58757126
四川省-泸州市,105.4439703,28.8959298
四川省-甘孜藏族自治州,101.9692321,30.05514411
四川省-眉山市,103.8414296,30.06111508
四川省-绵阳市,104.705519,31.50470126
四川省-自贡市,104.7760713,29.35915689
四川省-资阳市,104.6359303,30.13219143
四川省-达州市,107.4949734,31.21419886
四川省-遂宁市,105.5648878,30.55749135
